Period Start,Period End,Selected Tickers
2015-01-01,2015-06-30,[]
2015-07-01,2015-12-31,[]
2016-01-01,2016-06-30,"['AEYE', 'BKNG', 'PRTS', 'GRPN', 'HUBS', 'TREE', 'MMYT', 'NEGG', 'PETS', 'TTGT', 'TZOO', 'TCOM', 'TRIP', 'TRUE', 'WIX', 'WDAY']"
2016-07-01,2016-12-31,"['FLWS', 'AEYE', 'BOX', 'BKE', 'ETSY', 'FPAY', 'HUBS', 'MMYT', 'NEGG', 'WIX', 'WDAY']"
2017-01-01,2017-06-30,"['FLWS', 'AEYE', 'BKNG', 'BKE', 'PRTS', 'CARS', 'CVNA', 'EXPE', 'GRPN', 'HUBS', 'TREE', 'LITB', 'MMYT', 'PETS', 'TCOM', 'TRIP', 'TRVG']"
2017-07-01,2017-12-31,"['FLWS', 'AEYE', 'BOX', 'BKE', 'CARG', 'CVNA', 'CHGG', 'CPRT', 'ETSY', 'FPAY', 'INTU', 'NEGG', 'W', 'WIX', 'WDAY']"
2018-01-01,2018-06-30,"['BKNG', 'BOX', 'BKE', 'CARG', 'CVNA', 'DOCU', 'FPAY', 'GRPN', 'HUBS', 'TREE', 'MMYT', 'PETS', 'RDFN', 'SMAR', 'TTGT', 'TRIP', 'W']"
2018-07-01,2018-12-31,"['FLWS', 'BOX', 'BKE', 'PRTS', 'CHGG', 'CPRT', 'ETSY', 'FPAY', 'INTU', 'LITB', 'LOVE', 'MMYT', 'NEGG', 'TCOM', 'W', 'WDAY']"
2019-01-01,2019-06-30,"['FLWS', 'AEYE', 'BKNG', 'BKE', 'CARG', 'PRTS', 'CVNA', 'CHWY', 'DOCU', 'ETSY', 'EB', 'EXPE', 'FVRR', 'GRPN', 'HUBS', 'LITB', 'MMYT', 'PETS', 'PINS', 'RDFN', 'RVLV', 'SMAR', 'REAL', 'TCOM', 'TRIP', 'TRVG', 'TRUE', 'UPWK', 'W']"
2019-07-01,2019-12-31,"['FLWS', 'AEYE', 'BILL', 'BOX', 'BKE', 'CHGG', 'CHWY', 'ETSY', 'FPAY', 'INTU', 'LITB', 'LOVE', 'MMYT', 'NEGG', 'PINS', 'RVLV', 'SPT', 'REAL', 'TCOM', 'W']"
2020-01-01,2020-06-30,"['FLWS', 'AEYE', 'BKE', 'PRTS', 'CARS', 'CVNA', 'CHWY', 'DOCU', 'ETSY', 'FVRR', 'HUBS', 'LITB', 'LOVE', 'NEGG', 'PETS', 'RDFN', 'UPWK', 'W', 'WIX']"
2020-07-01,2020-12-31,"['FLWS', 'BILL', 'BOX', 'BKE', 'CHGG', 'CHWY', 'ETSY', 'FPAY', 'GRPN', 'LITB', 'LOVE', 'MMYT', 'NEGG', 'OPEN']"
2021-01-01,2021-06-30,"['DIBS', 'ABNB', 'AEYE', 'BKNG', 'BOX', 'BKE', 'CARS', 'CVNA', 'COUR', 'DOCU', 'EB', 'EXPE', 'FPAY', 'GROV', 'HUBS', 'LITB', 'MNDY', 'NEGG', 'OPEN', 'PETS', 'RXT', 'RDFN', 'RVLV', 'SEMR', 'SMAR', 'SPT', 'REAL', 'TZOO', 'TCOM', 'TRIP', 'TRVG', 'TRUE', 'XMTR', 'ZIP']"
2021-07-01,2021-12-31,"['FLWS', 'DIBS', 'BOX', 'BKE', 'CHGG', 'CHWY', 'CPRT', 'COUR', 'DOCN', 'DOCU', 'DUOL', 'ETSY', 'FVRR', 'FPAY', 'GDRX', 'HUBS', 'TREE', 'LITB', 'LOVE', 'LVLU', 'MMYT', 'NRDS', 'RVLV', 'SMAR', 'REAL', 'CURV', 'UDMY', 'W', 'WEAV', 'WIX', 'WDAY']"
2022-01-01,2022-06-30,"['FLWS', 'ABNB', 'AEYE', 'BARK', 'BKNG', 'COUR', 'DOCN', 'DOCU', 'DUOL', 'EB', 'EXPE', 'GRPN', 'GROV', 'HUBS', 'LITB', 'LVLU', 'MMYT', 'MNDY', 'OPEN', 'PETS', 'PINS', 'RXT', 'RDFN', 'RENT', 'SEMR', 'SMAR', 'SPT', 'TTGT', 'CURV', 'TZOO', 'TCOM', 'TRIP', 'TRVG', 'UPWK', 'XMTR']"
2022-07-01,2022-12-31,"['FLWS', 'BOX', 'BKE', 'CHGG', 'CHWY', 'DUOL', 'ETSY', 'FPAY', 'LITB', 'LOVE', 'MMYT', 'MNDY', 'NEGG', 'PINS', 'RXT', 'RVLV']"
2023-01-01,2023-06-30,"['ABNB', 'BARK', 'BKNG', 'BKE', 'PRTS', 'DOCU', 'EB', 'GRPN', 'GROV', 'TREE', 'LVLU', 'MNDY', 'PETS', 'RDFN', 'SEMR', 'TDUP', 'CURV', 'TCOM', 'TRVG', 'W']"
2023-07-01,2023-12-31,"['FLWS', 'BARK', 'BILL', 'BOX', 'BKE', 'CHGG', 'CHWY', 'DUOL', 'ETSY', 'FPAY', 'GDRX', 'INTU', 'LOVE', 'NEGG', 'PINS']"
2024-01-01,2024-06-30,"['ABNB', 'AEYE', 'BARK', 'BKNG', 'BKE', 'CVNA', 'DOCU', 'EB', 'FPAY', 'GRPN', 'GROV', 'TREE', 'LVLU', 'PETS', 'RDFN', 'TDUP', 'CURV', 'TCOM', 'TRIP', 'TRVG', 'TRUE', 'UPWK']"
2024-07-01,2024-12-31,"['FLWS', 'DIBS', 'AEYE', 'BARK', 'BILL', 'BOX', 'BKE', 'CHWY', 'DUOL', 'ETSY', 'FPAY', 'INTU', 'LOVE', 'MMYT', 'NEGG', 'PINS', 'RDDT', 'RVLV', 'TTGT', 'REAL', 'TCOM', 'WEAV', 'WIX']"
