ticker,market_cap
FLWS,510081664.0
DIBS,148607920.0
ABNB,80970448896.0
AEYE,246850096.0
BARK,340949856.0
BILL,10042313728.0
BKNG,155534311424.0
BOX,4917551104.0
BKE,2340164352.0
CARG,4106836736.0
PRTS,62727908.0
CARS,1145238272.0
CVNA,29936093184.0
CHGG,155417424.0
CHWY,15681039360.0
CPRT,56578363392.0
COUR,1216512000.0
DOCN,3963525120.0
DOCU,19574009856.0
DUOL,17241962496.0
ETSY,6216307712.0
EB,319706944.0
EXPE,21784166400.0
FVRR,1082574464.0
FPAY,34121376.0
GDRX,1821858944.0
GRPN,460908800.0
GROV,67291408.0
HUBS,40251437056.0
INTU,164663967744.0
TREE,600889152.0
LITB,18384600.0
LOVE,366377056.0
LVLU,38248120.0
MMYT,13157372928.0
MNDY,12937859072.0
NRDS,1041363584.0
NEGG,166421104.0
OPEN,986796608.0
PETS,110961384.0
PINS,22505005056.0
RXT,659950080.0
RDDT,38830829568.0
RDFN,1012916608.0
RENT,30281316.0
RVLV,2173045760.0
SEMR,2555548928.0
SMAR,7905913344.0
SPT,1915407872.0
SFIX,607577984.0
TALK,606433600.0
TTGT,1300466432.0
REAL,942245696.0
TDUP,299183552.0
CURV,673587520.0
TZOO,255919392.0
TCOM,44809322496.0
TRIP,2434199808.0
TRVG,211624960.0
TRUE,309570816.0
UDMY,1101552512.0
UPWK,2105255296.0
W,6054160896.0
WEAV,1250207616.0
WIX,12131512320.0
WDAY,73461227520.0
XMTR,1818510464.0
ZIP,779661184.0
^GSPC,
^IXIC,
AAPL,3492187734016.0
