Stock,Total Contribution (%)
FLWS,0.18585991095212456
AEYE,0.12545876913017862
BKNG,14.267730746321153
BKE,0.782356718275707
PRTS,0.012755851141392225
CHGG,-0.012008898545234853
CPRT,7.80941333687744
EXPE,0.3524256694523747
FPAY,0.00847805750664182
GRPN,0.11253571490124495
HUBS,10.255478693012297
INTU,11.766980938458081
TREE,0.07384733418425762
LITB,0.004499789758300892
MMYT,2.945116136634095
NEGG,0.37249742848231715
PETS,0.002226832298575707
TTGT,-0.16471913067738858
TZOO,-0.017257055479096055
TCOM,-1.3185861119559652
TRIP,-0.11771086458346164
TRUE,-0.012980661722706448
W,3.105533853428757
WIX,2.6864987809093104
WDAY,6.923171795215466
BOX,1.2977228707676414
ETSY,3.6510078454715043
CARS,0.16862997549167713
CVNA,8.636005620361347
TRVG,-0.038559594414318284
CARG,0.0026373111730396822
DOCU,0.7663262845364197
RDFN,0.03639311357294658
SMAR,-0.12994167999475806
LOVE,0.36478670877810465
CHWY,4.9168653561659506
EB,-0.013785503204512129
FVRR,0.09146125248495883
RVLV,-0.33534127216605797
REAL,-0.017694334307058506
UPWK,0.14492158454683546
PINS,8.222752564232064
SPT,0.6779755734674032
BILL,2.376173861093578
OPEN,-0.22998602362173745
DIBS,-0.014174598350985883
ABNB,0.6611108096127637
GROV,-0.007246943363161919
MNDY,2.385865748012328
SEMR,0.0331228427588897
CURV,-0.02761683527690434
XMTR,-0.010612501192408565
ZIP,0.006747614872564282
DOCN,-0.2208696712023219
DUOL,3.0241788893391375
GDRX,0.0025416073050261953
LVLU,-0.004000826053447804
NRDS,-0.045484202453630426
UDMY,-0.04123929079772919
WEAV,-0.13563857505615168
COUR,-0.012228536684374867
RXT,0.0051406112633345605
RENT,0.0012741384599384074
TDUP,0.004476766938827134
BARK,0.05613767032219373
RDDT,3.600560133135286
